********************************************************************************
Field Output Report, written Wed Oct 28 16:02:05 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/SimulationOutputs/PressureSteps/PressureJob.odb
   Step: Step-Pressure
   Frame: Increment      1: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: Planar Robot-1

      Node Label     U.Magnitude            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1          @Loc 1
---------------------------------------------------------------------------------
            3486         11.4882    -130.259E-03         11.4867    -130.911E-03
            3487         11.4663    -131.107E-03         11.4647    -132.911E-03
            3488         11.4396    -132.185E-03         11.4380    -134.055E-03
            3489         11.4707    -123.344E-03         11.4694    -120.507E-03
            3490         11.4616    -122.435E-03         11.4603    -120.675E-03
            3491         11.4453    -120.813E-03         11.4440    -121.926E-03
            3492         11.4370    -120.049E-03         11.4357    -122.726E-03
            3493         11.4292    -119.234E-03         11.4279    -123.485E-03
            9002         11.4418    -117.126E-03         11.4405    -129.806E-03
            9003         11.4383    -116.736E-03         11.4370    -129.964E-03
            9004         11.4327    -116.322E-03         11.4314    -129.802E-03
            9005         11.4283    -116.141E-03         11.4270    -129.416E-03
            9006         11.4277    -116.290E-03         11.4264    -129.031E-03
            9007         11.4313    -116.671E-03         11.4300    -128.871E-03
            9008         11.4369    -117.072E-03         11.4355    -129.028E-03
            9009         11.4412    -117.265E-03         11.4399    -129.421E-03
            9010         11.2804    -136.933E-03         11.2788    -128.240E-03
            9011         11.2689    -137.287E-03         11.2674    -128.035E-03
            9012         11.2594    -137.653E-03         11.2579    -128.149E-03
            9013         11.2575    -137.813E-03         11.2559    -128.511E-03
            9014         11.2643    -137.676E-03         11.2627    -128.911E-03
            9015         11.2758    -137.329E-03         11.2742    -129.115E-03
            9016         11.2853    -136.974E-03         11.2837    -129.006E-03
            9017         11.2871    -136.806E-03         11.2856    -128.637E-03
            9018         11.5547    -126.692E-03         11.5532    -133.074E-03
            9019         11.5535    -127.182E-03         11.5520    -133.233E-03
            9020         11.5486    -127.468E-03         11.5472    -133.154E-03
            9021         11.5439    -127.585E-03         11.5424    -132.588E-03
            9022         11.5430    -127.432E-03         11.5415    -132.243E-03
            9023         11.5455    -127.045E-03         11.5441    -132.190E-03
            9024         11.5490    -126.694E-03         11.5475    -132.454E-03
            9025         11.5524    -126.528E-03         11.5510    -132.754E-03
            9026         11.5126    -127.495E-03         11.5112    -126.664E-03
            9027         11.5113    -127.895E-03         11.5099    -126.749E-03
            9028         11.5068    -128.241E-03         11.5054    -126.476E-03
            9029         11.5029    -128.383E-03         11.5015    -126.127E-03
            9030         11.5029    -128.316E-03         11.5015    -125.828E-03
            9031         11.5057    -127.968E-03         11.5043    -125.699E-03
            9032         11.5087    -127.556E-03         11.5073    -125.821E-03
            9033         11.5112    -127.358E-03         11.5098    -126.277E-03
            9034         11.4447    -114.664E-03         11.4433    -134.588E-03
            9035         11.5071    -125.998E-03         11.5057    -124.135E-03
            9036         11.5000    -126.981E-03         11.4987    -121.290E-03
            9037         11.4992    -127.070E-03         11.4979    -120.554E-03
            9038         11.5441    -124.049E-03         11.5427    -129.718E-03
            9039         11.5501    -124.592E-03         11.5487    -129.178E-03
            9040         11.5579    -123.573E-03         11.5565    -131.968E-03
            9041         11.5097    -126.435E-03         11.5084    -123.370E-03
