********************************************************************************
Field Output Report, written Wed Nov 11 14:22:08 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/SimulationOutputs/80kPaNonLinear/80kPaNonLinear.odb
   Step: Step-Pressure
   Frame: Increment      8: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: Planar Robot-1

      Node Label     U.Magnitude
                          @Loc 1
---------------------------------
           14844         35.4666
           14876         35.0943
           14878         35.0594
           14879         35.0648
           14889         35.0117
           14892         35.0558
           14894         35.0946
           14900         35.0702
           14901         35.0954
           14902         35.0556
           14907         35.4844
           14914         35.4927
           14915         35.4832
           14931         35.4850
           14933         35.4709
           15014         35.3244
           15023         35.3317
           15025         35.3328
           15027         35.3330
           15028         35.3387
           15166         35.3355
           15174         35.3184
           15196         35.3335
           15198         35.3150
           15199         35.3014
           15200         35.2922
           15201         34.8796
           15203         34.8920
           15258         34.9724
           15260         34.9513
           15262         35.0014
           15268         35.3438
           15274         35.3810
           15275         35.3582
           15276         35.4804
           15286         35.4675
           15290         35.4572
           15323         35.4557
           15332         35.4360
           15397         34.8918
           15399         34.9217
           15456         35.2406
           15457         35.2523
           15461         35.1843
           15462         35.1654
           15464         35.1960
           15475         35.2081
           15476         35.1909
           15484         35.3174
           15487         35.2947
           15494         35.2395
           15495         35.2625
           15496         35.2323
           15528         35.3154
           15529         35.3360
           15530         35.2839
           15532         35.3048
           15543         35.2537
           15544         35.2381
           15551         35.2031
           15614         35.2993
           15618         35.3022
           15619         35.3129
           15637         35.3189
           15638         35.3162
           15658         35.3837
           15821         35.0102
           15874         35.3942
           15877         35.3868
           15878         35.3901
           15895         35.4090
           15896         35.4028
           15898         35.4141
           15908         35.4246
           15911         35.4161
           15912         35.4134
           15933         34.9719
           15956         35.0418
           15958         35.0282
           15959         35.0049
           16024         35.0871
           16025         35.0706
           16026         35.1131
           16029         35.1737
           16042         35.2364
           16044         35.1728
           16055         35.3537
           16056         35.3586
           16057         35.3586
           16078         35.4650
           16095         35.4555
           16096         35.4622
           16126         35.4138
           16128         35.4093
           16137         35.3541
           16138         35.3737
           16139         35.3972
           16141         35.3836
           16285         35.3138
           16394         35.4510
           16402         35.4215
           16566         35.3670
           16573         35.3566
           16575         35.3711
           16576         35.3529
           16577         35.3465
           16578         35.3362
           16595         35.4288
           16699         35.3709
           16700         35.3942
           16707         35.3426
           16708         35.3115
           16710         35.3407
           16767         35.2059
           16769         35.2443
           16771         35.2019
           16775         35.1268
           16791         35.1518
